N° do imóvel,UF,Cidade,Bairro,Endereço,Preço,Valor de avaliação,Desconto,Financiamento,Descrição,Modalidade de venda,Link de acesso
1444408525455,RS,ALVORADA,APARECIDA,"RUA ENI DAVILA FRAGOSO, N. 22, CASA","54.963,41","151.800,00",63.80,Não,"Casa, 0.00 de área total, 65.00 de área privativa, 152.58 de área do terreno,  2 qto(s), varanda, a.serv, 1 sala(s), cozinha.",Venda Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444408525455
8444429256001,RS,ALVORADA,MARIA REGINA,"RUA DEZESSEIS UNIDOS, N. 31, Apto 302, CO","45.901,86","95.000,00",51.69,Sim,"Apartamento, 0.00 de área total, 39.78 de área privativa, 504.00 de área do terreno.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444429256001
8444400618479,RS,ALVORADA,MARIA REGINA,"RUA RODA DE FOGO (ANTIGA RUA 28), N. 33, Apto 103, LT 07 QD 58","49.359,24","101.000,00",51.13,Não,"Apartamento, 0.00 de área total, 39.78 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444400618479
8444429692391,RS,ALVORADA,MARIA REGINA,"RUA SELVA DE PEDRA (ANTIGA RUA 30), N. 191, Apto 401,","42.548,36","83.000,00",48.74,Não,"Apartamento, 42.84 de área total, 39.78 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444429692391
8444430923695,RS,ALVORADA,JARDIM ALGARVE,"RUA CENTO E QUARENTA E OITO, N. 458, Apto 303,","83.823,46","161.659,00",48.15,Sim,"Apartamento, 0.00 de área total, 27.50 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.",Venda Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444430923695
8444430843446,RS,ALVORADA,JARDIM ALGARVE,"RUA IRAUNAS, N. 225, Apto 203,","65.921,81","115.000,00",42.68,Não,"Apartamento, 31.90 de área total, 27.50 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444430843446
8444433881063,RS,ALVORADA,UMBU,"RUA EDISON DE OLIVEIRA, N. 518, Apto 304, BL 03 SUB-BL A","70.507,67","123.000,00",42.68,Sim,"Apartamento, 43.56 de área total, 42.98 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444433881063
8444428679626,RS,ALVORADA,MARIA REGINA,"RUA BARAO DE COTEGIPE, N. 149, Apto 104,","91.879,11","159.021,00",42.23,Sim,"Apartamento, 44.44 de área total, 38.80 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444428679626
8444429608382,RS,ALVORADA,JARDIM ALGARVE,"RUA IRAUNAS, N. 225, Apto 303,","75.884,78","131.000,00",42.08,Sim,"Apartamento, 27.50 de área total, 27.50 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.",Venda Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444429608382
8444407748564,RS,ALVORADA,TIJUCA,"RUA CANGUCU, N. SN, FRACAO 04 LT 10 QD K","46.472,85","80.000,00",41.91,Não,"Terreno, 0.00 de área total, 0.00 de área privativa, 365.00 de área do terreno.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444407748564
8444426086938,RS,ALVORADA,JARDIM ALGARVE,"RUA CENTO E QUARENTA E SEIS, N. 119, Apto 301, PAV 2/3 LT 44 QD E-22","94.815,14","160.000,00",40.75,Não,"Apartamento, 33.68 de área total, 29.00 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444426086938
8044500518845,RS,ALVORADA,PASSO DORNELES,"ESTRADA CAMINHO DO MEIO, N. 5425, CS 71 QD E","133.200,00","222.000,00",40.00,Não,"Casa, 0.00 de área total, 46.72 de área privativa, 150.22 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8044500518845
8444417912600,RS,ALVORADA,MARIA REGINA,"RUA JOSE LINS DO REGO, N. 762, CS 01, QD G, LT 14","133.930,31","221.587,22",39.56,Sim,"Casa, 71.25 de área total, 71.25 de área privativa, 90.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha, 1 vaga(s) de garagem.",Venda Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444417912600
8555521786269,RS,ALVORADA,BELA VISTA,"ESTRADA FREDERICO DIHL, N. 856, Apto 113, LT 43, 47 AO 52, QD 10","118.465,05","196.000,00",39.56,Não,"Apartamento, 67.17 de área total, 49.31 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555521786269
8444406534447,RS,ALVORADA,APARECIDA,"RUA DOM PEDRITO, N. 117, PARTE LT 09 CHACARA 02 QD 31","221.921,19","362.436,00",38.77,Não,"Casa, 120.00 de área total, 120.00 de área privativa, 231.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444406534447
10218347,RS,ALVORADA,AMERICANA,"RUA MARIZ E BARROS (ANTIGA RUA A), N. 1062, QD 04, LT 13","232.619,72","365.000,00",36.27,Não,"Casa, 0.00 de área total, 184.82 de área privativa, 360.00 de área do terreno.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10218347
8787703218666,RS,ALVORADA,PQ. RES. VALE VERDE,"RUA F, N. 130, Apto 203, BLOCO 04","165.000,00","165.000,00",0.00,Não,"Apartamento, 85.45 de área total, 43.99 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787703218666
8444429774495,RS,ALVORADA,JARDIM ALGARVE,"RUA CENTO E VINTE E UM, N. 134, Apto 302, LT 13 QD E16A","160.000,00","160.000,00",0.00,Não,"Apartamento, 29.37 de área total, 29.37 de área privativa, 0.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444429774495
8444431781045,RS,ALVORADA,JARDIM ALGARVE,"RUA CENTO E CINQUENTA, N. 226, Apto 202, LT 11 QD E-6D","165.000,00","165.000,00",0.00,Não,"Apartamento, 41.76 de área total, 35.88 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444431781045
8444401748856,RS,ALVORADA,MARIA REGINA,"RUA ROQUE SANTEIRO, N. 136, Apto 104, LT 15, QD 62","131.716,00","131.716,00",0.00,Não,"Apartamento, 42.84 de área total, 39.78 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444401748856
8444431790753,RS,ALVORADA,MARIA REGINA,"RUA TUPI, N. 580, Apto 404, 4° ANDAR, LOTE 8, QUADRA 61","138.070,00","138.070,00",0.00,Não,"Apartamento, 42.84 de área total, 39.78 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444431790753
8444406900982,RS,ALVORADA,PIRATINI,"RUA CAUTRITAS, N. 520, CASA 02","206.000,00","206.000,00",0.00,Não,"Casa, 70.00 de área total, 70.00 de área privativa, 87.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444406900982
8555536409199,RS,ALVORADA,TERRA NOVA,"ACESSO TERRA NOVA, N. 601, CASA 356","260.000,00","260.000,00",0.00,Não,"Casa, 51.54 de área total, 51.05 de área privativa, 85.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555536409199
8444429802359,RS,ALVORADA,VILA DUAS FIGUEIRAS,"RUA FERNANDO FERRARI, N. 1078, Apto 104, VAGA BOX Nº 08","158.000,00","155.000,00",0.00,Não,"Apartamento, 46.17 de área total, 42.60 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444429802359
8444435363698,RS,ALVORADA,PIRATINI,"RUA 314, N. 146, Apto 301,","174.410,04","170.000,00",0.00,Não,"Apartamento, 33.45 de área total, 28.93 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444435363698
8787703648873,RS,ALVORADA,PIRATINI,"RUA F, N. 130, Apto 101, BL 05, VAGA BOX N 137","195.000,00","188.000,00",0.00,Não,"Apartamento, 98.77 de área total, 55.09 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787703648873
8444438197616,RS,ALVORADA,APARECIDA,"RUA MARECHAL HUMBERTO DE ALENCAR CASTELO BRANCO, N. 267, 158,","285.907,38","266.000,00",0.00,Não,"Casa, 40.43 de área total, 39.30 de área privativa, 111.90 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444438197616
8444428629637,RS,ALVORADA,JARDIM ALGARVE,"RUA ALDO RODRIGUES DA SILVA, N. 205, Apto 102,","136.492,09","126.000,00",0.00,Não,"Apartamento, 0.00 de área total, 33.35 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444428629637
8444436609666,RS,ALVORADA,UMBU,"RUA TRINTA E DOIS, N. 119, Apto 202,","102.409,27","86.500,00",0.00,Não,"Apartamento, 42.84 de área total, 39.78 de área privativa, 0.00 de área do terreno,  2 qto(s), WC Emp, 1 sala(s), cozinha.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444436609666
8444429650656,RS,ALVORADA,MARIA REGINA,"RUA VINTE E DOIS, N. 600, Apto 204,","127.015,94","106.000,00",0.00,Não,"Apartamento, 0.00 de área total, 39.78 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, cozinha.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444429650656
8444437760848,RS,ALVORADA,MARIA REGINA,"RUA CAMPO VERDE, N. 709, Apto 302, LT 23 QD 32","182.462,30","150.000,00",0.00,Não,"Apartamento, 47.90 de área total, 42.87 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444437760848
8444401420354,RS,ALVORADA,JARDIM ALGARVE,"RUA CURIOS, N. 451, LT 44, QD A92, LOT ALGARVE","236.534,60","185.000,00",0.00,Não,"Casa, 49.84 de área total, 49.84 de área privativa, 175.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444401420354
1444407896565,RS,CACHOEIRINHA,PARQUE DA MATRIZ,"RUA CONCORDIA, N. 1591, LT 29 QD A-5","312.443,33","530.000,00",41.05,Sim,"Casa, 137.50 de área total, 92.00 de área privativa, 229.49 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444407896565
8787710202664,RS,CACHOEIRINHA,MEU RINCAO,"RUA F, N. 131, CS 79","96.889,22","163.500,00",40.75,Não,"Casa, 83.93 de área total, 39.27 de área privativa, 95.40 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787710202664
8444412003660,RS,CACHOEIRINHA,PARQUE DA MATRIZ,"RUA PETROPOLIS, N. 288, Apto 03, 03, LT 22, QD B8,","54.353,48","90.000,00",39.61,Não,"Apartamento, 31.75 de área total, 30.49 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.",Licitação Aberta,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444412003660
1555505640320,RS,CACHOEIRINHA,VILA IMBUI,"RUA RUI RAMOS, N. 66, Apto 503, 5º ANDAR, LOT JARDIM MAUÁ","427.000,58","670.000,00",36.27,Sim,"Apartamento, 193.79 de área total, 171.86 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 2 sala(s), cozinha, Terraco.",Venda Direta Online,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555505640320
8444416628215,RS,CACHOEIRINHA,CHACARA DAS ROSAS,"AVENIDA FLORES DO CAMPO, N. 967, CASA 2","183.000,00","183.000,00",0.00,Não,"Casa, 45.00 de área total, 45.00 de área privativa, 85.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",Leilão SFI - Edital Único,https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444416628215
